ID fornecimento,Data,ID Und Reab,Política Pública,Origem das mudas,Finalidade da doação,SomaDequant
2478,25-nov.-22,1871,Programa Reflorestar (convencional),Granja do Ipê,convencional,50
2479,29-nov.-22,1962,Programa Reflorestar (convencional),Granja do Ipê,convencional,300
2481,09-nov.-22,1934,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2483,29-nov.-22,1977,Programa Reflorestar (convencional),Granja do Ipê,eventos,700
2484,29-nov.-22,1978,Programa Reflorestar (convencional),Granja do Ipê,convencional,831
2485,01-dez.-22,1780,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2487,02-dez.-22,1951,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2488,05-dez.-22,1516,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2489,06-dez.-22,1054,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2490,06-dez.-22,1288,Programa Reflorestar (convencional),Granja do Ipê,convencional,50
2491,06-dez.-22,305,Programa Reflorestar (convencional),Granja do Ipê,convencional,150
2492,06-dez.-22,1425,Programa Reflorestar (convencional),Granja do Ipê,convencional,300
2493,07-dez.-22,1868,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2494,07-dez.-22,926,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2497,08-dez.-22,1872,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2498,08-dez.-22,1921,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2499,08-dez.-22,398,Programa Reflorestar (convencional),Granja do Ipê,convencional,150
2501,12-dez.-22,310,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2502,12-dez.-22,1982,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2504,14-dez.-22,1985,Programa Reflorestar (convencional),Granja do Ipê,convencional,200
2505,12-dez.-22,1736,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2506,15-dez.-22,1704,Programa Reflorestar (convencional),Granja do Ipê,convencional,65
2507,13-dez.-22,1874,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2508,13-dez.-22,328,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2509,13-dez.-22,641,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2510,15-dez.-22,1897,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2511,15-dez.-22,1896,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2512,15-dez.-22,1887,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2513,15-dez.-22,1886,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2514,14-dez.-22,1867,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
